country,key,region,currency,confidenceStatus,confidenceLabel,missingFields,sourceGaps,priorityScore,recommendedAction
"Kazakhstan","kazakhstan","Asia","KZT","partial_source_coverage","Partial source coverage","country-specific tuition source; official visa/proof-of-funds source; official or institution living-cost source; insurance source; country-specific setup/travel methodology","No country-specific official tuition or institution fee URL attached.; No country-specific official immigration/proof-of-funds URL attached.; Living, insurance, setup, and travel values use regional planning estimates.; FX is static_estimate unless a timestamped cached/live provider is shown.","78","Add country-specific official visa, tuition, and living-cost source links."
"Latvia","latvia","Europe","EUR","partial_source_coverage","Partial source coverage","country-specific tuition source; official visa/proof-of-funds source; official or institution living-cost source; insurance source; country-specific setup/travel methodology","No country-specific official tuition or institution fee URL attached.; No country-specific official immigration/proof-of-funds URL attached.; Living, insurance, setup, and travel values use regional planning estimates.; FX is static_estimate unless a timestamped cached/live provider is shown.","78","Add country-specific official visa, tuition, and living-cost source links."
"Lithuania","lithuania","Europe","EUR","partial_source_coverage","Partial source coverage","country-specific tuition source; official visa/proof-of-funds source; official or institution living-cost source; insurance source; country-specific setup/travel methodology","No country-specific official tuition or institution fee URL attached.; No country-specific official immigration/proof-of-funds URL attached.; Living, insurance, setup, and travel values use regional planning estimates.; FX is static_estimate unless a timestamped cached/live provider is shown.","78","Add country-specific official visa, tuition, and living-cost source links."
"Luxembourg","luxembourg","Europe","EUR","partial_source_coverage","Partial source coverage","country-specific tuition source; official visa/proof-of-funds source; official or institution living-cost source; insurance source; country-specific setup/travel methodology","No country-specific official tuition or institution fee URL attached.; No country-specific official immigration/proof-of-funds URL attached.; Living, insurance, setup, and travel values use regional planning estimates.; FX is static_estimate unless a timestamped cached/live provider is shown.","78","Add country-specific official visa, tuition, and living-cost source links."
"Macau","macau","Asia","HKD","partial_source_coverage","Partial source coverage","country-specific tuition source; official visa/proof-of-funds source; official or institution living-cost source; insurance source; country-specific setup/travel methodology","No country-specific official tuition or institution fee URL attached.; No country-specific official immigration/proof-of-funds URL attached.; Living, insurance, setup, and travel values use regional planning estimates.; FX is static_estimate unless a timestamped cached/live provider is shown.","78","Add country-specific official visa, tuition, and living-cost source links."
"Malta","malta","Europe","EUR","partial_source_coverage","Partial source coverage","country-specific tuition source; official visa/proof-of-funds source; official or institution living-cost source; insurance source; country-specific setup/travel methodology","No country-specific official tuition or institution fee URL attached.; No country-specific official immigration/proof-of-funds URL attached.; Living, insurance, setup, and travel values use regional planning estimates.; FX is static_estimate unless a timestamped cached/live provider is shown.","78","Add country-specific official visa, tuition, and living-cost source links."
"Mexico","mexico","North America","MXN","partial_source_coverage","Partial source coverage","country-specific tuition source; official visa/proof-of-funds source; official or institution living-cost source; insurance source; country-specific setup/travel methodology","No country-specific official tuition or institution fee URL attached.; No country-specific official immigration/proof-of-funds URL attached.; Living, insurance, setup, and travel values use regional planning estimates.; FX is static_estimate unless a timestamped cached/live provider is shown.","78","Add country-specific official visa, tuition, and living-cost source links."
"Nepal","nepal","Asia","NPR","partial_source_coverage","Partial source coverage","country-specific tuition source; official visa/proof-of-funds source; official or institution living-cost source; insurance source; country-specific setup/travel methodology","No country-specific official tuition or institution fee URL attached.; No country-specific official immigration/proof-of-funds URL attached.; Living, insurance, setup, and travel values use regional planning estimates.; FX is static_estimate unless a timestamped cached/live provider is shown.","78","Add country-specific official visa, tuition, and living-cost source links."
"Pakistan","pakistan","Asia","PKR","partial_source_coverage","Partial source coverage","country-specific tuition source; official visa/proof-of-funds source; official or institution living-cost source; insurance source; country-specific setup/travel methodology","No country-specific official tuition or institution fee URL attached.; No country-specific official immigration/proof-of-funds URL attached.; Living, insurance, setup, and travel values use regional planning estimates.; FX is static_estimate unless a timestamped cached/live provider is shown.","78","Add country-specific official visa, tuition, and living-cost source links."
"Papua New Guinea","papua-new-guinea","Oceania","PGK","partial_source_coverage","Partial source coverage","country-specific tuition source; official visa/proof-of-funds source; official or institution living-cost source; insurance source; country-specific setup/travel methodology","No country-specific official tuition or institution fee URL attached.; No country-specific official immigration/proof-of-funds URL attached.; Living, insurance, setup, and travel values use regional planning estimates.; FX is static_estimate unless a timestamped cached/live provider is shown.","78","Add country-specific official visa, tuition, and living-cost source links."
"Philippines","philippines","Asia","PHP","partial_source_coverage","Partial source coverage","country-specific tuition source; official visa/proof-of-funds source; official or institution living-cost source; insurance source; country-specific setup/travel methodology","No country-specific official tuition or institution fee URL attached.; No country-specific official immigration/proof-of-funds URL attached.; Living, insurance, setup, and travel values use regional planning estimates.; FX is static_estimate unless a timestamped cached/live provider is shown.","78","Add country-specific official visa, tuition, and living-cost source links."
"Romania","romania","Europe","RON","partial_source_coverage","Partial source coverage","country-specific tuition source; official visa/proof-of-funds source; official or institution living-cost source; insurance source; country-specific setup/travel methodology","No country-specific official tuition or institution fee URL attached.; No country-specific official immigration/proof-of-funds URL attached.; Living, insurance, setup, and travel values use regional planning estimates.; FX is static_estimate unless a timestamped cached/live provider is shown.","78","Add country-specific official visa, tuition, and living-cost source links."
"Samoa","samoa","Oceania","WST","partial_source_coverage","Partial source coverage","country-specific tuition source; official visa/proof-of-funds source; official or institution living-cost source; insurance source; country-specific setup/travel methodology","No country-specific official tuition or institution fee URL attached.; No country-specific official immigration/proof-of-funds URL attached.; Living, insurance, setup, and travel values use regional planning estimates.; FX is static_estimate unless a timestamped cached/live provider is shown.","78","Add country-specific official visa, tuition, and living-cost source links."
"Slovakia","slovakia","Europe","EUR","partial_source_coverage","Partial source coverage","country-specific tuition source; official visa/proof-of-funds source; official or institution living-cost source; insurance source; country-specific setup/travel methodology","No country-specific official tuition or institution fee URL attached.; No country-specific official immigration/proof-of-funds URL attached.; Living, insurance, setup, and travel values use regional planning estimates.; FX is static_estimate unless a timestamped cached/live provider is shown.","78","Add country-specific official visa, tuition, and living-cost source links."
"Slovenia","slovenia","Europe","EUR","partial_source_coverage","Partial source coverage","country-specific tuition source; official visa/proof-of-funds source; official or institution living-cost source; insurance source; country-specific setup/travel methodology","No country-specific official tuition or institution fee URL attached.; No country-specific official immigration/proof-of-funds URL attached.; Living, insurance, setup, and travel values use regional planning estimates.; FX is static_estimate unless a timestamped cached/live provider is shown.","78","Add country-specific official visa, tuition, and living-cost source links."
"Sri Lanka","sri-lanka","Asia","LKR","partial_source_coverage","Partial source coverage","country-specific tuition source; official visa/proof-of-funds source; official or institution living-cost source; insurance source; country-specific setup/travel methodology","No country-specific official tuition or institution fee URL attached.; No country-specific official immigration/proof-of-funds URL attached.; Living, insurance, setup, and travel values use regional planning estimates.; FX is static_estimate unless a timestamped cached/live provider is shown.","78","Add country-specific official visa, tuition, and living-cost source links."
"Taiwan","taiwan","Asia","TWD","partial_source_coverage","Partial source coverage","country-specific tuition source; official visa/proof-of-funds source; official or institution living-cost source; insurance source; country-specific setup/travel methodology","No country-specific official tuition or institution fee URL attached.; No country-specific official immigration/proof-of-funds URL attached.; Living, insurance, setup, and travel values use regional planning estimates.; FX is static_estimate unless a timestamped cached/live provider is shown.","78","Add country-specific official visa, tuition, and living-cost source links."
"Thailand","thailand","Asia","THB","partial_source_coverage","Partial source coverage","country-specific tuition source; official visa/proof-of-funds source; official or institution living-cost source; insurance source; country-specific setup/travel methodology","No country-specific official tuition or institution fee URL attached.; No country-specific official immigration/proof-of-funds URL attached.; Living, insurance, setup, and travel values use regional planning estimates.; FX is static_estimate unless a timestamped cached/live provider is shown.","78","Add country-specific official visa, tuition, and living-cost source links."
"Uzbekistan","uzbekistan","Asia","UZS","partial_source_coverage","Partial source coverage","country-specific tuition source; official visa/proof-of-funds source; official or institution living-cost source; insurance source; country-specific setup/travel methodology","No country-specific official tuition or institution fee URL attached.; No country-specific official immigration/proof-of-funds URL attached.; Living, insurance, setup, and travel values use regional planning estimates.; FX is static_estimate unless a timestamped cached/live provider is shown.","78","Add country-specific official visa, tuition, and living-cost source links."
"Vietnam","vietnam","Asia","VND","partial_source_coverage","Partial source coverage","country-specific tuition source; official visa/proof-of-funds source; official or institution living-cost source; insurance source; country-specific setup/travel methodology","No country-specific official tuition or institution fee URL attached.; No country-specific official immigration/proof-of-funds URL attached.; Living, insurance, setup, and travel values use regional planning estimates.; FX is static_estimate unless a timestamped cached/live provider is shown.","78","Add country-specific official visa, tuition, and living-cost source links."
"Egypt","egypt","Africa","EGP","ready_for_planning_estimate","Ready for planning estimate","country-specific tuition source; official visa/proof-of-funds source; official or institution living-cost source; insurance source","No country-specific official tuition or institution fee URL attached.; No country-specific official immigration/proof-of-funds URL attached.; Living, insurance, setup, and travel values use regional planning estimates.; FX is static_estimate unless a timestamped cached/live provider is shown.","71","Add official/institution source URLs to graduate from planning estimate to stronger trust layer."
"Ghana","ghana","Africa","GHS","ready_for_planning_estimate","Ready for planning estimate","country-specific tuition source; official visa/proof-of-funds source; official or institution living-cost source; insurance source","No country-specific official tuition or institution fee URL attached.; No country-specific official immigration/proof-of-funds URL attached.; Living, insurance, setup, and travel values use regional planning estimates.; FX is static_estimate unless a timestamped cached/live provider is shown.","71","Add official/institution source URLs to graduate from planning estimate to stronger trust layer."
"Kenya","kenya","Africa","KES","ready_for_planning_estimate","Ready for planning estimate","country-specific tuition source; official visa/proof-of-funds source; official or institution living-cost source; insurance source","No country-specific official tuition or institution fee URL attached.; No country-specific official immigration/proof-of-funds URL attached.; Living, insurance, setup, and travel values use regional planning estimates.; FX is static_estimate unless a timestamped cached/live provider is shown.","71","Add official/institution source URLs to graduate from planning estimate to stronger trust layer."
"Mauritius","mauritius","Africa","MUR","ready_for_planning_estimate","Ready for planning estimate","country-specific tuition source; official visa/proof-of-funds source; official or institution living-cost source; insurance source","No country-specific official tuition or institution fee URL attached.; No country-specific official immigration/proof-of-funds URL attached.; Living, insurance, setup, and travel values use regional planning estimates.; FX is static_estimate unless a timestamped cached/live provider is shown.","71","Add official/institution source URLs to graduate from planning estimate to stronger trust layer."
"Morocco","morocco","Africa","MAD","ready_for_planning_estimate","Ready for planning estimate","country-specific tuition source; official visa/proof-of-funds source; official or institution living-cost source; insurance source","No country-specific official tuition or institution fee URL attached.; No country-specific official immigration/proof-of-funds URL attached.; Living, insurance, setup, and travel values use regional planning estimates.; FX is static_estimate unless a timestamped cached/live provider is shown.","71","Add official/institution source URLs to graduate from planning estimate to stronger trust layer."
"Rwanda","rwanda","Africa","RWF","ready_for_planning_estimate","Ready for planning estimate","country-specific tuition source; official visa/proof-of-funds source; official or institution living-cost source; insurance source","No country-specific official tuition or institution fee URL attached.; No country-specific official immigration/proof-of-funds URL attached.; Living, insurance, setup, and travel values use regional planning estimates.; FX is static_estimate unless a timestamped cached/live provider is shown.","71","Add official/institution source URLs to graduate from planning estimate to stronger trust layer."
"South Africa","south-africa","Africa","ZAR","ready_for_planning_estimate","Ready for planning estimate","country-specific tuition source; official visa/proof-of-funds source; official or institution living-cost source; insurance source","No country-specific official tuition or institution fee URL attached.; No country-specific official immigration/proof-of-funds URL attached.; Living, insurance, setup, and travel values use regional planning estimates.; FX is static_estimate unless a timestamped cached/live provider is shown.","71","Add official/institution source URLs to graduate from planning estimate to stronger trust layer."
"Tunisia","tunisia","Africa","TND","ready_for_planning_estimate","Ready for planning estimate","country-specific tuition source; official visa/proof-of-funds source; official or institution living-cost source; insurance source","No country-specific official tuition or institution fee URL attached.; No country-specific official immigration/proof-of-funds URL attached.; Living, insurance, setup, and travel values use regional planning estimates.; FX is static_estimate unless a timestamped cached/live provider is shown.","71","Add official/institution source URLs to graduate from planning estimate to stronger trust layer."
"Austria","austria","Europe","EUR","ready_for_planning_estimate","Ready for planning estimate","country-specific tuition source; official visa/proof-of-funds source; official or institution living-cost source; insurance source","No country-specific official tuition or institution fee URL attached.; No country-specific official immigration/proof-of-funds URL attached.; Living, insurance, setup, and travel values use regional planning estimates.; FX is static_estimate unless a timestamped cached/live provider is shown.","66","Add official/institution source URLs to graduate from planning estimate to stronger trust layer."
"Belgium","belgium","Europe","EUR","ready_for_planning_estimate","Ready for planning estimate","country-specific tuition source; official visa/proof-of-funds source; official or institution living-cost source; insurance source","No country-specific official tuition or institution fee URL attached.; No country-specific official immigration/proof-of-funds URL attached.; Living, insurance, setup, and travel values use regional planning estimates.; FX is static_estimate unless a timestamped cached/live provider is shown.","66","Add official/institution source URLs to graduate from planning estimate to stronger trust layer."
"China","china","Asia","CNY","ready_for_planning_estimate","Ready for planning estimate","country-specific tuition source; official visa/proof-of-funds source; official or institution living-cost source; insurance source","No country-specific official tuition or institution fee URL attached.; No country-specific official immigration/proof-of-funds URL attached.; Living, insurance, setup, and travel values use regional planning estimates.; FX is static_estimate unless a timestamped cached/live provider is shown.","66","Add official/institution source URLs to graduate from planning estimate to stronger trust layer."
"Denmark","denmark","Europe","DKK","ready_for_planning_estimate","Ready for planning estimate","country-specific tuition source; official visa/proof-of-funds source; official or institution living-cost source; insurance source","No country-specific official tuition or institution fee URL attached.; No country-specific official immigration/proof-of-funds URL attached.; Living, insurance, setup, and travel values use regional planning estimates.; FX is static_estimate unless a timestamped cached/live provider is shown.","66","Add official/institution source URLs to graduate from planning estimate to stronger trust layer."
"Finland","finland","Europe","EUR","ready_for_planning_estimate","Ready for planning estimate","country-specific tuition source; official visa/proof-of-funds source; official or institution living-cost source; insurance source","No country-specific official tuition or institution fee URL attached.; No country-specific official immigration/proof-of-funds URL attached.; Living, insurance, setup, and travel values use regional planning estimates.; FX is static_estimate unless a timestamped cached/live provider is shown.","66","Add official/institution source URLs to graduate from planning estimate to stronger trust layer."
"France","france","Europe","EUR","ready_for_planning_estimate","Ready for planning estimate","country-specific tuition source; official visa/proof-of-funds source; official or institution living-cost source; insurance source","No country-specific official tuition or institution fee URL attached.; No country-specific official immigration/proof-of-funds URL attached.; Living, insurance, setup, and travel values use regional planning estimates.; FX is static_estimate unless a timestamped cached/live provider is shown.","66","Add official/institution source URLs to graduate from planning estimate to stronger trust layer."
"India","india","Asia","INR","ready_for_planning_estimate","Ready for planning estimate","country-specific tuition source; official visa/proof-of-funds source; official or institution living-cost source; insurance source","No country-specific official tuition or institution fee URL attached.; No country-specific official immigration/proof-of-funds URL attached.; Living, insurance, setup, and travel values use regional planning estimates.; FX is static_estimate unless a timestamped cached/live provider is shown.","66","Add official/institution source URLs to graduate from planning estimate to stronger trust layer."
"Ireland","ireland","Europe","EUR","ready_for_planning_estimate","Ready for planning estimate","country-specific tuition source; official visa/proof-of-funds source; official or institution living-cost source; insurance source","No country-specific official tuition or institution fee URL attached.; No country-specific official immigration/proof-of-funds URL attached.; Living, insurance, setup, and travel values use regional planning estimates.; FX is static_estimate unless a timestamped cached/live provider is shown.","66","Add official/institution source URLs to graduate from planning estimate to stronger trust layer."
"Italy","italy","Europe","EUR","ready_for_planning_estimate","Ready for planning estimate","country-specific tuition source; official visa/proof-of-funds source; official or institution living-cost source; insurance source","No country-specific official tuition or institution fee URL attached.; No country-specific official immigration/proof-of-funds URL attached.; Living, insurance, setup, and travel values use regional planning estimates.; FX is static_estimate unless a timestamped cached/live provider is shown.","66","Add official/institution source URLs to graduate from planning estimate to stronger trust layer."
"Japan","japan","Asia","JPY","ready_for_planning_estimate","Ready for planning estimate","country-specific tuition source; official visa/proof-of-funds source; official or institution living-cost source; insurance source","No country-specific official tuition or institution fee URL attached.; No country-specific official immigration/proof-of-funds URL attached.; Living, insurance, setup, and travel values use regional planning estimates.; FX is static_estimate unless a timestamped cached/live provider is shown.","66","Add official/institution source URLs to graduate from planning estimate to stronger trust layer."
"Malaysia","malaysia","Asia","MYR","ready_for_planning_estimate","Ready for planning estimate","country-specific tuition source; official visa/proof-of-funds source; official or institution living-cost source; insurance source","No country-specific official tuition or institution fee URL attached.; No country-specific official immigration/proof-of-funds URL attached.; Living, insurance, setup, and travel values use regional planning estimates.; FX is static_estimate unless a timestamped cached/live provider is shown.","66","Add official/institution source URLs to graduate from planning estimate to stronger trust layer."
"Netherlands","netherlands","Europe","EUR","ready_for_planning_estimate","Ready for planning estimate","country-specific tuition source; official visa/proof-of-funds source; official or institution living-cost source; insurance source","No country-specific official tuition or institution fee URL attached.; No country-specific official immigration/proof-of-funds URL attached.; Living, insurance, setup, and travel values use regional planning estimates.; FX is static_estimate unless a timestamped cached/live provider is shown.","66","Add official/institution source URLs to graduate from planning estimate to stronger trust layer."
"New Zealand","new-zealand","Oceania","NZD","ready_for_planning_estimate","Ready for planning estimate","country-specific tuition source; official visa/proof-of-funds source; official or institution living-cost source; insurance source","No country-specific official tuition or institution fee URL attached.; No country-specific official immigration/proof-of-funds URL attached.; Living, insurance, setup, and travel values use regional planning estimates.; FX is static_estimate unless a timestamped cached/live provider is shown.","66","Add official/institution source URLs to graduate from planning estimate to stronger trust layer."
"Norway","norway","Europe","NOK","ready_for_planning_estimate","Ready for planning estimate","country-specific tuition source; official visa/proof-of-funds source; official or institution living-cost source; insurance source","No country-specific official tuition or institution fee URL attached.; No country-specific official immigration/proof-of-funds URL attached.; Living, insurance, setup, and travel values use regional planning estimates.; FX is static_estimate unless a timestamped cached/live provider is shown.","66","Add official/institution source URLs to graduate from planning estimate to stronger trust layer."
"Poland","poland","Europe","PLN","ready_for_planning_estimate","Ready for planning estimate","country-specific tuition source; official visa/proof-of-funds source; official or institution living-cost source; insurance source","No country-specific official tuition or institution fee URL attached.; No country-specific official immigration/proof-of-funds URL attached.; Living, insurance, setup, and travel values use regional planning estimates.; FX is static_estimate unless a timestamped cached/live provider is shown.","66","Add official/institution source URLs to graduate from planning estimate to stronger trust layer."
"Portugal","portugal","Europe","EUR","ready_for_planning_estimate","Ready for planning estimate","country-specific tuition source; official visa/proof-of-funds source; official or institution living-cost source; insurance source","No country-specific official tuition or institution fee URL attached.; No country-specific official immigration/proof-of-funds URL attached.; Living, insurance, setup, and travel values use regional planning estimates.; FX is static_estimate unless a timestamped cached/live provider is shown.","66","Add official/institution source URLs to graduate from planning estimate to stronger trust layer."
"Singapore","singapore","Asia","SGD","ready_for_planning_estimate","Ready for planning estimate","country-specific tuition source; official visa/proof-of-funds source; official or institution living-cost source; insurance source","No country-specific official tuition or institution fee URL attached.; No country-specific official immigration/proof-of-funds URL attached.; Living, insurance, setup, and travel values use regional planning estimates.; FX is static_estimate unless a timestamped cached/live provider is shown.","66","Add official/institution source URLs to graduate from planning estimate to stronger trust layer."
"South Korea","south-korea","Asia","KRW","ready_for_planning_estimate","Ready for planning estimate","country-specific tuition source; official visa/proof-of-funds source; official or institution living-cost source; insurance source","No country-specific official tuition or institution fee URL attached.; No country-specific official immigration/proof-of-funds URL attached.; Living, insurance, setup, and travel values use regional planning estimates.; FX is static_estimate unless a timestamped cached/live provider is shown.","66","Add official/institution source URLs to graduate from planning estimate to stronger trust layer."
"Spain","spain","Europe","EUR","ready_for_planning_estimate","Ready for planning estimate","country-specific tuition source; official visa/proof-of-funds source; official or institution living-cost source; insurance source","No country-specific official tuition or institution fee URL attached.; No country-specific official immigration/proof-of-funds URL attached.; Living, insurance, setup, and travel values use regional planning estimates.; FX is static_estimate unless a timestamped cached/live provider is shown.","66","Add official/institution source URLs to graduate from planning estimate to stronger trust layer."
"Sweden","sweden","Europe","SEK","ready_for_planning_estimate","Ready for planning estimate","country-specific tuition source; official visa/proof-of-funds source; official or institution living-cost source; insurance source","No country-specific official tuition or institution fee URL attached.; No country-specific official immigration/proof-of-funds URL attached.; Living, insurance, setup, and travel values use regional planning estimates.; FX is static_estimate unless a timestamped cached/live provider is shown.","66","Add official/institution source URLs to graduate from planning estimate to stronger trust layer."
"Switzerland","switzerland","Europe","CHF","ready_for_planning_estimate","Ready for planning estimate","country-specific tuition source; official visa/proof-of-funds source; official or institution living-cost source; insurance source","No country-specific official tuition or institution fee URL attached.; No country-specific official immigration/proof-of-funds URL attached.; Living, insurance, setup, and travel values use regional planning estimates.; FX is static_estimate unless a timestamped cached/live provider is shown.","66","Add official/institution source URLs to graduate from planning estimate to stronger trust layer."
"Australia","australia","Oceania","AUD","hero_verified","Hero verified","verified institution tuition examples; live or timestamped FX feed","Hero route has stronger source metadata, but institution-level tuition examples are still missing.; FX is static_estimate until connected to a timestamped cached/live feed.","35","Add verified institution tuition examples and timestamped FX."
"Canada","canada","North America","CAD","hero_verified","Hero verified","verified institution tuition examples; live or timestamped FX feed","Hero route has stronger source metadata, but institution-level tuition examples are still missing.; FX is static_estimate until connected to a timestamped cached/live feed.","35","Add verified institution tuition examples and timestamped FX."
"Germany","germany","Europe","EUR","hero_verified","Hero verified","verified institution tuition examples; live or timestamped FX feed","Hero route has stronger source metadata, but institution-level tuition examples are still missing.; FX is static_estimate until connected to a timestamped cached/live feed.","35","Add verified institution tuition examples and timestamped FX."
"United Kingdom","uk","Europe","GBP","hero_verified","Hero verified","verified institution tuition examples; live or timestamped FX feed","Hero route has stronger source metadata, but institution-level tuition examples are still missing.; FX is static_estimate until connected to a timestamped cached/live feed.","35","Add verified institution tuition examples and timestamped FX."
"United States","usa","North America","USD","hero_verified","Hero verified","verified institution tuition examples; live or timestamped FX feed","Hero route has stronger source metadata, but institution-level tuition examples are still missing.; FX is static_estimate until connected to a timestamped cached/live feed.","35","Add verified institution tuition examples and timestamped FX."
