vehicle_id,make,make_slug,model,model_slug,year,body_type,trim,engine_cc_min,engine_cc_max,fuel_types,transmissions,source_markets,mileage_band,condition_note,price_min_usd,price_median_usd,price_max_usd,confidence,last_updated,tags,catalog_status,launch_priority
toyota-camry-2005,Toyota,toyota,Camry,camry,2005,sedan,Base / LE,2400,3000,petrol,automatic,japan|uae|uk|local-dealer,120k-220k km,local or older import,2100,2700,3600,medium,2026-03-15,popular|risky-age|budget,active,seed
toyota-camry-2012,Toyota,toyota,Camry,camry,2012,sedan,XV50,2500,3500,petrol,automatic,uae|uk|japan|local-dealer,90k-170k km,foreign used,5200,6800,9000,medium,2026-03-15,popular|sedan,active,seed
toyota-corolla-2018,Toyota,toyota,Corolla,corolla,2018,sedan,1.8 sedan,1500,1800,petrol,automatic|cvt,japan|uae|uk|south-africa|local-dealer,40k-110k km,foreign used,6900,8200,10100,medium,2026-03-10,popular|family,active,seed
toyota-axio-2018,Toyota,toyota,Axio,axio,2018,sedan,1.5 / Hybrid,1500,1800,petrol|hybrid,automatic|cvt,japan|uk|local-dealer,40k-100k km,foreign used,6200,7600,9300,medium,2026-03-14,popular|kenya|hybrid,active,seed
toyota-axio-2019,Toyota,toyota,Axio,axio,2019,sedan,1.5 / Hybrid,1500,1800,petrol|hybrid,automatic|cvt,japan|uk|local-dealer,35k-95k km,foreign used,6800,7800,9800,medium,2026-03-14,popular|kenya|hybrid,active,seed
toyota-vitz-2015,Toyota,toyota,Vitz / Yaris,vitz-yaris,2015,hatchback,1.0 / 1.3,1000,1300,petrol,automatic|cvt,japan|uk|local-dealer,70k-140k km,foreign used,3600,4700,6200,medium,2026-02-25,budget|city,active,seed
toyota-noah-2014,Toyota,toyota,Noah / Voxy,noah,2014,mpv,2.0 petrol,1980,2000,petrol,automatic|cvt,japan|uk|local-dealer,80k-160k km,foreign used,6200,7800,10100,medium,2026-03-12,family|mpv|risky-age,active,seed
toyota-noah-2018,Toyota,toyota,Noah / Voxy,noah,2018,mpv,2.0 / Hybrid,1800,2000,petrol|hybrid,automatic|cvt,japan|uk|local-dealer,45k-110k km,foreign used,11800,14500,17800,medium,2026-03-12,family|mpv|hybrid,active,seed
toyota-prado-2016,Toyota,toyota,Prado,prado,2016,suv,2.7 / 3.0,2700,3000,petrol|diesel,automatic,japan|uae|south-africa|local-dealer,70k-150k km,foreign used,25000,32000,43000,low,2026-02-20,suv|premium,active,seed
toyota-prado-2020,Toyota,toyota,Prado,prado,2020,suv,2.7 / 3.0,2700,3000,petrol|diesel,automatic,japan|uae|south-africa|local-dealer,35k-100k km,foreign used,38000,47000,62000,low,2026-02-20,suv|premium,active,seed
toyota-hilux-2015,Toyota,toyota,Hilux,hilux,2015,pickup,2.5 diesel,2400,3000,diesel,manual|automatic,japan|uae|south-africa|local-dealer,80k-180k km,foreign used,9500,11800,15500,medium,2026-03-11,pickup|work,active,seed
toyota-hilux-2020,Toyota,toyota,Hilux,hilux,2020,pickup,2.4 / 2.8 diesel,2400,2800,diesel,manual|automatic,japan|uae|south-africa|local-dealer,40k-110k km,foreign used,23000,28500,37000,medium,2026-03-11,pickup|work,active,seed
honda-cr-v-2016,Honda,honda,CR-V,cr-v,2016,suv,2.0 / 2.4,2000,2400,petrol,automatic|cvt,japan|uae|uk|local-dealer,60k-140k km,foreign used,8200,9800,12600,medium,2026-03-16,suv|popular,active,seed
honda-cr-v-2020,Honda,honda,CR-V,cr-v,2020,suv,1.5T / Hybrid,1500,2000,petrol|hybrid,automatic|cvt,japan|uae|uk|local-dealer,35k-95k km,foreign used,18500,23500,31000,medium,2026-03-16,suv|hybrid,active,seed
honda-accord-2014,Honda,honda,Accord,accord,2014,sedan,2.4 sedan,2400,3500,petrol,automatic|cvt,uae|uk|japan|local-dealer,80k-160k km,foreign used,6800,8600,11600,medium,2026-03-04,sedan,active,seed
mazda-demio-2017,Mazda,mazda,Demio / Mazda 2,demio,2017,hatchback,1.3 / 1.5,1300,1500,petrol|diesel,automatic,japan|uk|local-dealer,50k-130k km,foreign used,4200,5200,6900,medium,2026-03-09,budget|city,active,seed
nissan-x-trail-2015,Nissan,nissan,X-Trail,x-trail,2015,suv,2.0 / 2.5,2000,2500,petrol,automatic|cvt,japan|uk|uae|local-dealer,70k-150k km,foreign used,7600,9300,12400,medium,2026-02-28,suv|family,active,seed
mercedes-c-class-2016,Mercedes-Benz,mercedes-benz,C-Class,c-class,2016,sedan,C180 / C200,1600,2000,petrol|diesel,automatic,uk|uae|south-africa|local-dealer,60k-130k km,foreign used,13500,17500,24000,low,2026-02-19,premium|sedan,active,seed
mercedes-e-class-2017,Mercedes-Benz,mercedes-benz,E-Class,e-class,2017,sedan,E200 / E300,2000,3000,petrol|diesel,automatic,uk|uae|south-africa|local-dealer,50k-120k km,foreign used,22000,28500,39000,low,2026-02-19,premium|sedan,active,seed
mercedes-g-wagon-2022,Mercedes-Benz,mercedes-benz,G-Wagon,g-wagon,2022,suv,G 550 / G 63,4000,6300,petrol,automatic,uae|uk|south-africa|local-dealer,5k-60k km,premium used,145000,185000,260000,low,2026-03-08,premium|suv|high-risk,active,seed
lexus-rx-2017,Lexus,lexus,RX,rx,2017,suv,RX350 / RX450h,3500,3500,petrol|hybrid,automatic|cvt,japan|uae|uk|local-dealer,50k-120k km,foreign used,23000,29500,40500,low,2026-02-26,premium|suv|hybrid,active,seed
lexus-es-2016,Lexus,lexus,ES,es,2016,sedan,ES350,2500,3500,petrol|hybrid,automatic|cvt,uae|uk|japan|local-dealer,60k-140k km,foreign used,14500,18500,25000,low,2026-02-26,premium|sedan,active,seed
hyundai-elantra-2018,Hyundai,hyundai,Elantra,elantra,2018,sedan,1.6 / 2.0,1600,2000,petrol,automatic,uae|uk|south-africa|local-dealer,45k-120k km,foreign used,7800,9800,13200,medium,2026-02-24,sedan|value,active,seed
kia-sportage-2017,Kia,kia,Sportage,sportage,2017,suv,2.0,2000,2400,petrol|diesel,automatic,uae|uk|south-africa|local-dealer,55k-130k km,foreign used,11500,14500,19800,medium,2026-02-24,suv|value,active,seed
ford-ranger-2018,Ford,ford,Ranger,ranger,2018,pickup,2.2 / 3.2 diesel,2200,3200,diesel,manual|automatic,south-africa|uk|uae|local-dealer,60k-150k km,foreign used,16000,20500,28500,medium,2026-02-24,pickup|work,active,seed
