batch_index,type,priority,name,slug,source_id,route,save_folder,filename,dimensions,format,prompt,notes
1,tool-card,68,Pomodoro Timer,pomodoro,pomodoro,/tools/pomodoro/,/assets/img/tools/,pomodoro.webp,800x450,WebP,"Create an AfroTools web-card banner for Pomodoro Timer. simple doodle, soft pastel fills, black outline. Show practical African web app objects and forms. No readable text, no logos, no brand marks. 16:9, polished, useful for social cards.",Canonical app image. Reuse for translated pages unless visible localized text is required. Category=data-productivity; tier=T3.
2,tool-card,62,Event Countdown Timer,countdown-timer,countdown-timer,/tools/countdown-timer/,/assets/img/tools/,countdown-timer.webp,800x450,WebP,"Create an AfroTools web-card banner for Event Countdown Timer. flat paper texture illustration. Show practical African web app objects and forms. No readable text, no logos, no brand marks. 16:9, polished, useful for social cards.",Canonical app image. Reuse for translated pages unless visible localized text is required. Category=data-productivity; tier=T3.
3,tool-card,62,Tip & Bill Splitter,tip-calculator,tip-calculator,/tools/tip-calculator/,/assets/img/tools/,tip-calculator.webp,800x450,WebP,"Create an AfroTools web-card banner for Tip & Bill Splitter. watercolor wash with ink line. Show practical African web app objects and forms. No readable text, no logos, no brand marks. 16:9, polished, useful for social cards.",Canonical app image. Reuse for translated pages unless visible localized text is required. Category=data-productivity; tier=T3.
4,tool-card,61,Window & Door Sizing Guide,window-door-sizing,window-door-sizing,/tools/window-door-sizing/,/assets/img/tools/,window-door-sizing.webp,800x450,WebP,"Create an AfroTools web-card banner for Window & Door Sizing Guide. flat paper texture illustration. Show practical African web app objects and forms. No readable text, no logos, no brand marks. 16:9, polished, useful for social cards.",Canonical app image. Reuse for translated pages unless visible localized text is required. Category=engineering; tier=T2.
5,tool-card,60,Meeting Cost Calculator,meeting-cost,meeting-cost,/tools/meeting-cost/,/assets/img/tools/,meeting-cost.webp,800x450,WebP,"Create an AfroTools web-card banner for Meeting Cost Calculator. soft 3D clay still life. Show practical African web app objects and forms. No readable text, no logos, no brand marks. 16:9, polished, useful for social cards.",Canonical app image. Reuse for translated pages unless visible localized text is required. Category=data-productivity; tier=T3.
6,tool-card,60,Tithe & Offering Calculator,tithe-offering-calculator,tithe-offering-calculator,/tools/tithe-offering-calculator,/assets/img/tools/,tithe-offering-calculator.webp,800x450,WebP,"Create an AfroTools web-card banner for Tithe & Offering Calculator. simple doodle, soft pastel fills, black outline. Show money planning, calculator, receipt, local currency notes. No readable text, no logos, no brand marks. 16:9, polished, useful for social cards.",Canonical app image. Reuse for translated pages unless visible localized text is required. Category=financial; tier=T2.
7,tool-card,56,South Africa Livestock Feed Calculator,livestock-feed-south-africa,livestock-feed-south-africa,/agriculture/livestock-feed/south-africa,/assets/img/tools/,livestock-feed-south-africa.webp,800x450,WebP,"Create an AfroTools web-card banner for South Africa Livestock Feed Calculator. watercolor wash with ink line. Show field planning, produce, seeds, irrigation, farm notebook. No readable text, no logos, no brand marks. 16:9, polished, useful for social cards.",Canonical app image. Reuse for translated pages unless visible localized text is required. Category=agriculture; tier=T3.
8,tool-card,56,Morocco Farm Profit Calculator,farm-profit-morocco,farm-profit-morocco,/agriculture/farm-profit/morocco,/assets/img/tools/,farm-profit-morocco.webp,800x450,WebP,"Create an AfroTools web-card banner for Morocco Farm Profit Calculator. soft 3D clay still life. Show field planning, produce, seeds, irrigation, farm notebook. No readable text, no logos, no brand marks. 16:9, polished, useful for social cards.",Canonical app image. Reuse for translated pages unless visible localized text is required. Category=agriculture; tier=T3.
9,tool-card,56,Ethiopia Farm Worker Payroll Calculator,farm-payroll-ethiopia,farm-payroll-ethiopia,/agriculture/farm-payroll/ethiopia,/assets/img/tools/,farm-payroll-ethiopia.webp,800x450,WebP,"Create an AfroTools web-card banner for Ethiopia Farm Worker Payroll Calculator. modern dashboard abstraction. Show field planning, produce, seeds, irrigation, farm notebook. No readable text, no logos, no brand marks. 16:9, polished, useful for social cards.",Canonical app image. Reuse for translated pages unless visible localized text is required. Category=agriculture; tier=T3.
10,tool-card,54,Match Ticket Price Comparator Africa,match-tickets,match-tickets,/tools/match-tickets/,/assets/img/tools/,match-tickets.webp,800x450,WebP,"Create an AfroTools web-card banner for Match Ticket Price Comparator Africa. watercolor wash with ink line. Show practical African web app objects and forms. No readable text, no logos, no brand marks. 16:9, polished, useful for social cards.",Canonical app image. Reuse for translated pages unless visible localized text is required. Category=sports; tier=T3.
11,tool-card,54,Ethiopia Greenhouse Cost Estimator,greenhouse-ethiopia,greenhouse-ethiopia,/agriculture/greenhouse/ethiopia,/assets/img/tools/,greenhouse-ethiopia.webp,800x450,WebP,"Create an AfroTools web-card banner for Ethiopia Greenhouse Cost Estimator. modern dashboard abstraction. Show field planning, produce, seeds, irrigation, farm notebook. No readable text, no logos, no brand marks. 16:9, polished, useful for social cards.",Canonical app image. Reuse for translated pages unless visible localized text is required. Category=agriculture; tier=T3.
12,tool-card,54,DR Congo Farm Profit Calculator,farm-profit-dr-congo,farm-profit-dr-congo,/agriculture/farm-profit/dr-congo,/assets/img/tools/,farm-profit-dr-congo.webp,800x450,WebP,"Create an AfroTools web-card banner for DR Congo Farm Profit Calculator. flat paper texture illustration. Show field planning, produce, seeds, irrigation, farm notebook. No readable text, no logos, no brand marks. 16:9, polished, useful for social cards.",Canonical app image. Reuse for translated pages unless visible localized text is required. Category=agriculture; tier=T3.
13,tool-card,54,Senegal Farm Profit Calculator,farm-profit-senegal,farm-profit-senegal,/agriculture/farm-profit/senegal,/assets/img/tools/,farm-profit-senegal.webp,800x450,WebP,"Create an AfroTools web-card banner for Senegal Farm Profit Calculator. watercolor wash with ink line. Show field planning, produce, seeds, irrigation, farm notebook. No readable text, no logos, no brand marks. 16:9, polished, useful for social cards.",Canonical app image. Reuse for translated pages unless visible localized text is required. Category=agriculture; tier=T3.
14,tool-card,54,Uganda Farm Profit Calculator,farm-profit-uganda,farm-profit-uganda,/agriculture/farm-profit/uganda,/assets/img/tools/,farm-profit-uganda.webp,800x450,WebP,"Create an AfroTools web-card banner for Uganda Farm Profit Calculator. modern dashboard abstraction. Show field planning, produce, seeds, irrigation, farm notebook. No readable text, no logos, no brand marks. 16:9, polished, useful for social cards.",Canonical app image. Reuse for translated pages unless visible localized text is required. Category=agriculture; tier=T3.
15,tool-card,54,Tanzania Farm Worker Payroll Calculator,farm-payroll-tanzania,farm-payroll-tanzania,/agriculture/farm-payroll/tanzania,/assets/img/tools/,farm-payroll-tanzania.webp,800x450,WebP,"Create an AfroTools web-card banner for Tanzania Farm Worker Payroll Calculator. watercolor wash with ink line. Show field planning, produce, seeds, irrigation, farm notebook. No readable text, no logos, no brand marks. 16:9, polished, useful for social cards.",Canonical app image. Reuse for translated pages unless visible localized text is required. Category=agriculture; tier=T3.
16,tool-card,52,Tanzania Livestock Feed Calculator,livestock-feed-tanzania,livestock-feed-tanzania,/agriculture/livestock-feed/tanzania,/assets/img/tools/,livestock-feed-tanzania.webp,800x450,WebP,"Create an AfroTools web-card banner for Tanzania Livestock Feed Calculator. modern dashboard abstraction. Show field planning, produce, seeds, irrigation, farm notebook. No readable text, no logos, no brand marks. 16:9, polished, useful for social cards.",Canonical app image. Reuse for translated pages unless visible localized text is required. Category=agriculture; tier=T3.
17,tool-card,52,Tanzania Fish Farming ROI,fish-farming-tanzania,fish-farming-tanzania,/agriculture/fish-farming/tanzania,/assets/img/tools/,fish-farming-tanzania.webp,800x450,WebP,"Create an AfroTools web-card banner for Tanzania Fish Farming ROI. simple doodle, soft pastel fills, black outline. Show field planning, produce, seeds, irrigation, farm notebook. No readable text, no logos, no brand marks. 16:9, polished, useful for social cards.",Canonical app image. Reuse for translated pages unless visible localized text is required. Category=agriculture; tier=T3.
18,tool-card,52,Algeria Farm Worker Payroll Calculator,farm-payroll-algeria,farm-payroll-algeria,/agriculture/farm-payroll/algeria,/assets/img/tools/,farm-payroll-algeria.webp,800x450,WebP,"Create an AfroTools web-card banner for Algeria Farm Worker Payroll Calculator. soft 3D clay still life. Show field planning, produce, seeds, irrigation, farm notebook. No readable text, no logos, no brand marks. 16:9, polished, useful for social cards.",Canonical app image. Reuse for translated pages unless visible localized text is required. Category=agriculture; tier=T3.
19,tool-card,52,Senegal Farm Worker Payroll Calculator,farm-payroll-senegal,farm-payroll-senegal,/agriculture/farm-payroll/senegal,/assets/img/tools/,farm-payroll-senegal.webp,800x450,WebP,"Create an AfroTools web-card banner for Senegal Farm Worker Payroll Calculator. flat paper texture illustration. Show field planning, produce, seeds, irrigation, farm notebook. No readable text, no logos, no brand marks. 16:9, polished, useful for social cards.",Canonical app image. Reuse for translated pages unless visible localized text is required. Category=agriculture; tier=T3.
20,tool-card,51,Cameroon Agri-Input Price Comparator,input-prices-cameroon,input-prices-cameroon,/agriculture/input-prices/cameroon,/assets/img/tools/,input-prices-cameroon.webp,800x450,WebP,"Create an AfroTools web-card banner for Cameroon Agri-Input Price Comparator. soft 3D clay still life. Show field planning, produce, seeds, irrigation, farm notebook. No readable text, no logos, no brand marks. 16:9, polished, useful for social cards.",Canonical app image. Reuse for translated pages unless visible localized text is required. Category=agriculture; tier=T3.
21,tool-card,51,Senegal Agri-Input Price Comparator,input-prices-senegal,input-prices-senegal,/agriculture/input-prices/senegal,/assets/img/tools/,input-prices-senegal.webp,800x450,WebP,"Create an AfroTools web-card banner for Senegal Agri-Input Price Comparator. watercolor wash with ink line. Show field planning, produce, seeds, irrigation, farm notebook. No readable text, no logos, no brand marks. 16:9, polished, useful for social cards.",Canonical app image. Reuse for translated pages unless visible localized text is required. Category=agriculture; tier=T3.
22,tool-card,51,Tunisia Agri-Input Price Comparator,input-prices-tunisia,input-prices-tunisia,/agriculture/input-prices/tunisia,/assets/img/tools/,input-prices-tunisia.webp,800x450,WebP,"Create an AfroTools web-card banner for Tunisia Agri-Input Price Comparator. clean editorial desk scene, warm light. Show field planning, produce, seeds, irrigation, farm notebook. No readable text, no logos, no brand marks. 16:9, polished, useful for social cards.",Canonical app image. Reuse for translated pages unless visible localized text is required. Category=agriculture; tier=T3.
23,tool-card,51,Uganda Livestock Feed Calculator,livestock-feed-uganda,livestock-feed-uganda,/agriculture/livestock-feed/uganda,/assets/img/tools/,livestock-feed-uganda.webp,800x450,WebP,"Create an AfroTools web-card banner for Uganda Livestock Feed Calculator. soft 3D clay still life. Show field planning, produce, seeds, irrigation, farm notebook. No readable text, no logos, no brand marks. 16:9, polished, useful for social cards.",Canonical app image. Reuse for translated pages unless visible localized text is required. Category=agriculture; tier=T3.
24,tool-card,51,Cameroon Greenhouse Cost Estimator,greenhouse-cameroon,greenhouse-cameroon,/agriculture/greenhouse/cameroon,/assets/img/tools/,greenhouse-cameroon.webp,800x450,WebP,"Create an AfroTools web-card banner for Cameroon Greenhouse Cost Estimator. flat paper texture illustration. Show field planning, produce, seeds, irrigation, farm notebook. No readable text, no logos, no brand marks. 16:9, polished, useful for social cards.",Canonical app image. Reuse for translated pages unless visible localized text is required. Category=agriculture; tier=T3.
25,tool-card,51,Côte d'Ivoire Greenhouse Cost Estimator,greenhouse-cote-d-ivoire,greenhouse-cote-d-ivoire,/agriculture/greenhouse/cote-d-ivoire,/assets/img/tools/,greenhouse-cote-d-ivoire.webp,800x450,WebP,"Create an AfroTools web-card banner for Côte d'Ivoire Greenhouse Cost Estimator. clean editorial desk scene, warm light. Show field planning, produce, seeds, irrigation, farm notebook. No readable text, no logos, no brand marks. 16:9, polished, useful for social cards.",Canonical app image. Reuse for translated pages unless visible localized text is required. Category=agriculture; tier=T3.
26,tool-card,51,Rwanda Greenhouse Cost Estimator,greenhouse-rwanda,greenhouse-rwanda,/agriculture/greenhouse/rwanda,/assets/img/tools/,greenhouse-rwanda.webp,800x450,WebP,"Create an AfroTools web-card banner for Rwanda Greenhouse Cost Estimator. simple doodle, soft pastel fills, black outline. Show field planning, produce, seeds, irrigation, farm notebook. No readable text, no logos, no brand marks. 16:9, polished, useful for social cards.",Canonical app image. Reuse for translated pages unless visible localized text is required. Category=agriculture; tier=T3.
27,tool-card,51,Senegal Greenhouse Cost Estimator,greenhouse-senegal,greenhouse-senegal,/agriculture/greenhouse/senegal,/assets/img/tools/,greenhouse-senegal.webp,800x450,WebP,"Create an AfroTools web-card banner for Senegal Greenhouse Cost Estimator. modern dashboard abstraction. Show field planning, produce, seeds, irrigation, farm notebook. No readable text, no logos, no brand marks. 16:9, polished, useful for social cards.",Canonical app image. Reuse for translated pages unless visible localized text is required. Category=agriculture; tier=T3.
28,tool-card,51,Tunisia Greenhouse Cost Estimator,greenhouse-tunisia,greenhouse-tunisia,/agriculture/greenhouse/tunisia,/assets/img/tools/,greenhouse-tunisia.webp,800x450,WebP,"Create an AfroTools web-card banner for Tunisia Greenhouse Cost Estimator. watercolor wash with ink line. Show field planning, produce, seeds, irrigation, farm notebook. No readable text, no logos, no brand marks. 16:9, polished, useful for social cards.",Canonical app image. Reuse for translated pages unless visible localized text is required. Category=agriculture; tier=T3.
29,tool-card,51,DR Congo Farm Worker Payroll Calculator,farm-payroll-dr-congo,farm-payroll-dr-congo,/agriculture/farm-payroll/dr-congo,/assets/img/tools/,farm-payroll-dr-congo.webp,800x450,WebP,"Create an AfroTools web-card banner for DR Congo Farm Worker Payroll Calculator. soft 3D clay still life. Show field planning, produce, seeds, irrigation, farm notebook. No readable text, no logos, no brand marks. 16:9, polished, useful for social cards.",Canonical app image. Reuse for translated pages unless visible localized text is required. Category=agriculture; tier=T3.
30,tool-card,51,Uganda Farm Worker Payroll Calculator,farm-payroll-uganda,farm-payroll-uganda,/agriculture/farm-payroll/uganda,/assets/img/tools/,farm-payroll-uganda.webp,800x450,WebP,"Create an AfroTools web-card banner for Uganda Farm Worker Payroll Calculator. watercolor wash with ink line. Show field planning, produce, seeds, irrigation, farm notebook. No readable text, no logos, no brand marks. 16:9, polished, useful for social cards.",Canonical app image. Reuse for translated pages unless visible localized text is required. Category=agriculture; tier=T3.
31,tool-card,50,"50/30/20 Budget Calculator for Africa — Needs, Wants & Savings",50-30-20-budget,50-30-20-budget,/tools/50-30-20-budget/,/assets/img/tools/,50-30-20-budget.webp,800x450,WebP,"Create an AfroTools web-card banner for 50/30/20 Budget Calculator for Africa — Needs, Wants & Savings. flat paper texture illustration. Show practical African web app objects and forms. No readable text, no logos, no brand marks. 16:9, polished, useful for social cards.",Canonical app image. Reuse for translated pages unless visible localized text is required. Category=personal-finance; tier=T3.
32,tool-card,50,Affidavit Generator Africa 2026 — Free Legal Affidavit Template,affidavit-generator,affidavit-generator,/tools/affidavit-generator/,/assets/img/tools/,affidavit-generator.webp,800x450,WebP,"Create an AfroTools web-card banner for Affidavit Generator Africa 2026 — Free Legal Affidavit Template. soft 3D clay still life. Show documents, checklist, signature pen, business folder. No readable text, no logos, no brand marks. 16:9, polished, useful for social cards.",Canonical app image. Reuse for translated pages unless visible localized text is required. Category=legal; tier=T3.
33,tool-card,50,Africa Domestic Flight Price Tracker,africa-flight,africa-flight,/tools/africa-flight/,/assets/img/tools/,africa-flight.webp,800x450,WebP,"Create an AfroTools web-card banner for Africa Domestic Flight Price Tracker. modern dashboard abstraction. Show practical African web app objects and forms. No readable text, no logos, no brand marks. 16:9, polished, useful for social cards.",Canonical app image. Reuse for translated pages unless visible localized text is required. Category=travel-tourism; tier=T3.
34,tool-card,50,"African API Directory — Fintech, Gov, Telecom APIs",african-api-directory,african-api-directory,/tools/african-api-directory/,/assets/img/tools/,african-api-directory.webp,800x450,WebP,"Create an AfroTools web-card banner for African API Directory — Fintech, Gov, Telecom APIs. flat paper texture illustration. Show abstract code blocks, browser window, API cards. No readable text, no logos, no brand marks. 16:9, polished, useful for social cards.",Canonical app image. Reuse for translated pages unless visible localized text is required. Category=developer; tier=T3.
35,tool-card,50,African Domain Checker — .ng .ke .za .gh TLDs Guide,african-domains,african-domains,/tools/african-domains/,/assets/img/tools/,african-domains.webp,800x450,WebP,"Create an AfroTools web-card banner for African Domain Checker — .ng .ke .za .gh TLDs Guide. modern dashboard abstraction. Show abstract code blocks, browser window, API cards. No readable text, no logos, no brand marks. 16:9, polished, useful for social cards.",Canonical app image. Reuse for translated pages unless visible localized text is required. Category=developer; tier=T3.
36,tool-card,50,"African Color Palette Generator — Kente, Invoice, Savanna",african-palette,african-palette,/tools/african-palette/,/assets/img/tools/,african-palette.webp,800x450,WebP,"Create an AfroTools web-card banner for African Color Palette Generator — Kente, Invoice, Savanna. soft 3D clay still life. Show creator desk, camera, content calendar. No readable text, no logos, no brand marks. 16:9, polished, useful for social cards.",Canonical app image. Reuse for translated pages unless visible localized text is required. Category=creative; tier=T3.
37,tool-card,50,"African Proverb Generator — Yoruba, Swahili, Zulu, Akan",african-proverbs,african-proverbs,/tools/african-proverbs/,/assets/img/tools/,african-proverbs.webp,800x450,WebP,"Create an AfroTools web-card banner for African Proverb Generator — Yoruba, Swahili, Zulu, Akan. clean editorial desk scene, warm light. Show practical African web app objects and forms. No readable text, no logos, no brand marks. 16:9, polished, useful for social cards.",Canonical app image. Reuse for translated pages unless visible localized text is required. Category=religious-cultural; tier=T3.
38,tool-card,50,"Airbnb vs Hotel Comparator Africa — Lagos, Nairobi, Cape Town",airbnb-vs-hotel,airbnb-vs-hotel,/tools/airbnb-vs-hotel/,/assets/img/tools/,airbnb-vs-hotel.webp,800x450,WebP,"Create an AfroTools web-card banner for Airbnb vs Hotel Comparator Africa — Lagos, Nairobi, Cape Town. soft 3D clay still life. Show practical African web app objects and forms. No readable text, no logos, no brand marks. 16:9, polished, useful for social cards.",Canonical app image. Reuse for translated pages unless visible localized text is required. Category=travel-tourism; tier=T3.
39,tool-card,50,"Airport Transfer Cost Comparator — Lagos, Nairobi, Accra, Johannesburg",airport-transfer,airport-transfer,/tools/airport-transfer/,/assets/img/tools/,airport-transfer.webp,800x450,WebP,"Create an AfroTools web-card banner for Airport Transfer Cost Comparator — Lagos, Nairobi, Accra, Johannesburg. watercolor wash with ink line. Show practical African web app objects and forms. No readable text, no logos, no brand marks. 16:9, polished, useful for social cards.",Canonical app image. Reuse for translated pages unless visible localized text is required. Category=travel-tourism; tier=T3.
40,tool-card,50,Album / EP Release Budget Calculator — Africa,album-budget,album-budget,/tools/album-budget/,/assets/img/tools/,album-budget.webp,800x450,WebP,"Create an AfroTools web-card banner for Album / EP Release Budget Calculator — Africa. modern dashboard abstraction. Show practical African web app objects and forms. No readable text, no logos, no brand marks. 16:9, polished, useful for social cards.",Canonical app image. Reuse for translated pages unless visible localized text is required. Category=personal-finance; tier=T3.
41,afrostream-news,470,"BET Awards 2026 nominations put Tems, Tyla, Wizkid, Asake and Burna Boy in major categories",bet-awards-2026-african-nominations,bet-awards-2026-african-nominations,/tools/afrostream/news/bet-awards-2026-african-nominations/,/assets/img/afrostream/news/,bet-awards-2026-african-nominations.webp,1200x630,WebP,"Create an AfroStream news feature image for: BET Awards 2026 nominations put Tems, Tyla, Wizkid, Asake and Burna Boy in major categories. Editorial African creator-economy scene, symbolic and original. Do not depict exact celebrity likenesses, exact award logos, platform logos, readable text, or fake screenshots. 1200x630 social crop, lively but credible.","Live as_news row missing image_url. After upload, set image_url to /assets/img/afrostream/news/bet-awards-2026-african-nominations.webp. Category=milestones."
42,afrostream-news,469,Click Awards 2026 recognises Kenyan creator-entrepreneurs at International Creator Day,click-awards-2026-kenya-creator-entrepreneurs,click-awards-2026-kenya-creator-entrepreneurs,/tools/afrostream/news/click-awards-2026-kenya-creator-entrepreneurs/,/assets/img/afrostream/news/,click-awards-2026-kenya-creator-entrepreneurs.webp,1200x630,WebP,"Create an AfroStream news feature image for: Click Awards 2026 recognises Kenyan creator-entrepreneurs at International Creator Day. Editorial African creator-economy scene, symbolic and original. Do not depict exact celebrity likenesses, exact award logos, platform logos, readable text, or fake screenshots. 1200x630 social crop, lively but credible.","Live as_news row missing image_url. After upload, set image_url to /assets/img/afrostream/news/click-awards-2026-kenya-creator-entrepreneurs.webp. Category=milestones."
43,afrostream-news,468,African Creators Summit opens ACS 2026 registration for pan-African creator network,african-creators-summit-2026-registration,african-creators-summit-2026-registration,/tools/afrostream/news/african-creators-summit-2026-registration/,/assets/img/afrostream/news/,african-creators-summit-2026-registration.webp,1200x630,WebP,"Create an AfroStream news feature image for: African Creators Summit opens ACS 2026 registration for pan-African creator network. Editorial African creator-economy scene, symbolic and original. Do not depict exact celebrity likenesses, exact award logos, platform logos, readable text, or fake screenshots. 1200x630 social crop, lively but credible.","Live as_news row missing image_url. After upload, set image_url to /assets/img/afrostream/news/african-creators-summit-2026-registration.webp. Category=platform."
44,afrostream-news,467,Stonebwoy releases TORCHER II as a 15-track Ghanaian dancehall album,stonebwoy-torcher-ii-album-release-2026,stonebwoy-torcher-ii-album-release-2026,/tools/afrostream/news/stonebwoy-torcher-ii-album-release-2026/,/assets/img/afrostream/news/,stonebwoy-torcher-ii-album-release-2026.webp,1200x630,WebP,"Create an AfroStream news feature image for: Stonebwoy releases TORCHER II as a 15-track Ghanaian dancehall album. Editorial African creator-economy scene, symbolic and original. Do not depict exact celebrity likenesses, exact award logos, platform logos, readable text, or fake screenshots. 1200x630 social crop, lively but credible.","Live as_news row missing image_url. After upload, set image_url to /assets/img/afrostream/news/stonebwoy-torcher-ii-album-release-2026.webp. Category=milestones."
45,afrostream-news,466,CerAwards Africa gives Nigerian beauty creators Paris trips and NGN 12m prize stage,cerawards-2026-nigeria-creators-konga-cerave,cerawards-2026-nigeria-creators-konga-cerave,/tools/afrostream/news/cerawards-2026-nigeria-creators-konga-cerave/,/assets/img/afrostream/news/,cerawards-2026-nigeria-creators-konga-cerave.webp,1200x630,WebP,"Create an AfroStream news feature image for: CerAwards Africa gives Nigerian beauty creators Paris trips and NGN 12m prize stage. Editorial African creator-economy scene, symbolic and original. Do not depict exact celebrity likenesses, exact award logos, platform logos, readable text, or fake screenshots. 1200x630 social crop, lively but credible.","Live as_news row missing image_url. After upload, set image_url to /assets/img/afrostream/news/cerawards-2026-nigeria-creators-konga-cerave.webp. Category=business."
46,afrostream-news,465,Uganda Bobi Wine on the books and songs that shape his politics,uganda-s-bobi-wine-on-the-books-and-songs-that-shape-his-politics-f7btfr,uganda-s-bobi-wine-on-the-books-and-songs-that-shape-his-politics-f7btfr,/tools/afrostream/news/uganda-s-bobi-wine-on-the-books-and-songs-that-shape-his-politics-f7btfr/,/assets/img/afrostream/news/,uganda-s-bobi-wine-on-the-books-and-songs-that-shape-his-politics-f7btfr.webp,1200x630,WebP,"Create an AfroStream news feature image for: Uganda Bobi Wine on the books and songs that shape his politics. Editorial African creator-economy scene, symbolic and original. Do not depict exact celebrity likenesses, exact award logos, platform logos, readable text, or fake screenshots. 1200x630 social crop, lively but credible.","Live as_news row missing image_url. After upload, set image_url to /assets/img/afrostream/news/uganda-s-bobi-wine-on-the-books-and-songs-that-shape-his-politics-f7btfr.webp. Category=milestones."
47,afrostream-news,464,National Arts Festival 2026 gives South African creators a 270-production Makhanda platform,national-arts-festival-2026-south-africa-creators,national-arts-festival-2026-south-africa-creators,/tools/afrostream/news/national-arts-festival-2026-south-africa-creators/,/assets/img/afrostream/news/,national-arts-festival-2026-south-africa-creators.webp,1200x630,WebP,"Create an AfroStream news feature image for: National Arts Festival 2026 gives South African creators a 270-production Makhanda platform. Editorial African creator-economy scene, symbolic and original. Do not depict exact celebrity likenesses, exact award logos, platform logos, readable text, or fake screenshots. 1200x630 social crop, lively but credible.","Live as_news row missing image_url. After upload, set image_url to /assets/img/afrostream/news/national-arts-festival-2026-south-africa-creators.webp. Category=platform."
48,afrostream-news,463,AfroCannes 2026 puts African film creators in Cannes creator-economy week,afrocannes-2026-cannes-african-creator-platform,afrocannes-2026-cannes-african-creator-platform,/tools/afrostream/news/afrocannes-2026-cannes-african-creator-platform/,/assets/img/afrostream/news/,afrocannes-2026-cannes-african-creator-platform.webp,1200x630,WebP,"Create an AfroStream news feature image for: AfroCannes 2026 puts African film creators in Cannes creator-economy week. Editorial African creator-economy scene, symbolic and original. Do not depict exact celebrity likenesses, exact award logos, platform logos, readable text, or fake screenshots. 1200x630 social crop, lively but credible.","Live as_news row missing image_url. After upload, set image_url to /assets/img/afrostream/news/afrocannes-2026-cannes-african-creator-platform.webp. Category=platform."
49,afrostream-news,462,Rema and Tyla named for FIFA World Cup 2026 Los Angeles opening celebration,rema-tyla-fifa-world-cup-2026-los-angeles-opening-celebration,rema-tyla-fifa-world-cup-2026-los-angeles-opening-celebration,/tools/afrostream/news/rema-tyla-fifa-world-cup-2026-los-angeles-opening-celebration/,/assets/img/afrostream/news/,rema-tyla-fifa-world-cup-2026-los-angeles-opening-celebration.webp,1200x630,WebP,"Create an AfroStream news feature image for: Rema and Tyla named for FIFA World Cup 2026 Los Angeles opening celebration. Editorial African creator-economy scene, symbolic and original. Do not depict exact celebrity likenesses, exact award logos, platform logos, readable text, or fake screenshots. 1200x630 social crop, lively but credible.","Live as_news row missing image_url. After upload, set image_url to /assets/img/afrostream/news/rema-tyla-fifa-world-cup-2026-los-angeles-opening-celebration.webp. Category=milestones."
